number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
134	Cluster_179	Eukaryota	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
135	Cluster_184	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Entolomataceae	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
136	Cluster_238	Eukaryota	Fungi	Ascomycota	Pezizomycotina	undefined	Medeolariales	Medeolariaceae	N.R	N.R	N.R	
137	Cluster_178	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	N.R	N.R	N.R	
138	Cluster_181	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Pathotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
139	Cluster_186	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
140	Cluster_247	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
141	Cluster_202	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
142	Cluster_182	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	N.R	N.R	N.R	
143	Cluster_185	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
144	Cluster_180	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
145	Cluster_223	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
146	Cluster_187	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
147	Cluster_220	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	N.R	N.R	N.R	
148	Cluster_243	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Lichinomycetes	Lichinales	Lichinaceae	N.R	N.R	N.R	
149	Cluster_188	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	N.R	N.R	N.R	
150	Cluster_189	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
151	Cluster_201	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
152	Cluster_192	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Exidiaceae	N.R	N.R	N.R	
153	Cluster_199	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
154	Cluster_218	Eukaryota	Fungi	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Pathotroph-Saprotroph-Symbiotroph	Pathotroph-Saprotroph	Microfungus	
155	Cluster_212	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
156	Cluster_204	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Cyphellaceae	Saprotroph	Saprotroph	Microfungus	
157	Cluster_246	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
158	Cluster_219	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
159	Cluster_213	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
160	Cluster_258	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mucorales	undefined	N.R	N.R	N.R	
161	Cluster_296	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
162	Cluster_224	Eukaryota	Fungi	Glomeromycota	undefined	Archaeosporomycetes	Archaeosporales	undefined	N.R	N.R	N.R	
