sample.code	TOTAL	rank	sample.name	year.code	age.month	month.code	code	month	year	mesocosm	position	pool.code	corridor	cor.posi	replicate	position.code	plant
s538	35832	690	O-18-1P04-8_S27_L001	18	17	O	18O	october	2018	1P04	mb	1P04mb	1	1mb	8	mb	Brachypodium
s539	17314	331	O-18-1P04-9_S29_L001	18	17	O	18O	october	2018	1P04	cor	1P04cor	1	1cor	9	cor	Trifolium
s540	10222	109	O-18-1P04-10_S31_L001	18	17	O	18O	october	2018	1P04	cor	1P04cor	1	1cor	10	cor	Trifolium
s541	34480	666	O-18-1P05-1_S58_L001	18	17	O	18O	october	2018	1P05	p1	1P05p1	1	1p1	1	patch	Trifolium
s542	32784	645	O-18-1P05-2_S60_L001	18	17	O	18O	october	2018	1P05	p1	1P05p1	1	1p1	2	patch	Trifolium
s543	33150	649	O-18-1P05-3_S62_L001	18	17	O	18O	october	2018	1P05	p1	1P05p1	1	1p1	3	patch	Trifolium
s544	7463	33	O-18-1P05-4_S64_L001	18	17	O	18O	october	2018	1P05	p2	1P05p2	1	1p2	4	patch	Trifolium
s545	21324	437	O-18-1P05-5_S65_L001	18	17	O	18O	october	2018	1P05	p2	1P05p2	1	1p2	5	patch	Trifolium
s546	23797	478	O-18-1P05-6_S67_L001	18	17	O	18O	october	2018	1P05	p2	1P05p2	1	1p2	6	patch	Trifolium
s547	24926	501	O-18-1P05-7_S69_L001	18	17	O	18O	october	2018	1P05	mb	1P05mb	1	1mb	7	mb	Brachypodium
s548	37108	703	O-18-1P05-8_S71_L001	18	17	O	18O	october	2018	1P05	mb	1P05mb	1	1mb	8	mb	Brachypodium
s549	27255	549	O-18-1P05-9_S73_L001	18	17	O	18O	october	2018	1P05	cor	1P05cor	1	1cor	9	cor	Trifolium
s550	40933	734	O-18-1P05-10_S75_L001	18	17	O	18O	october	2018	1P05	cor	1P05cor	1	1cor	10	cor	Trifolium
s551	55171	792	O-18-1P05-10a_S275_L001	18	17	O	18O	october	2018	1P05	cor	1P05cor	1	1cor	10	cor	Trifolium
s552	64933	807	O-18-1P05-1a_S258_L001	18	17	O	18O	october	2018	1P05	p1	1P05p1	1	1p1	1	patch	Trifolium
s553	30400	608	O-18-1P05-2a_S260_L001	18	17	O	18O	october	2018	1P05	p1	1P05p1	1	1p1	2	patch	Trifolium
s554	75760	816	O-18-1P05-3a_S262_L001	18	17	O	18O	october	2018	1P05	p1	1P05p1	1	1p1	3	patch	Trifolium
s555	95111	821	O-18-1P05-4a_S264_L001	18	17	O	18O	october	2018	1P05	p2	1P05p2	1	1p2	4	patch	Trifolium
s556	70293	812	O-18-1P05-5a_S266_L001	18	17	O	18O	october	2018	1P05	p2	1P05p2	1	1p2	5	patch	Trifolium
s557	59675	796	O-18-1P05-6a_S268_L001	18	17	O	18O	october	2018	1P05	p2	1P05p2	1	1p2	6	patch	Trifolium
s558	70966	814	O-18-1P05-7a_S270_L001	18	17	O	18O	october	2018	1P05	mb	1P05mb	1	1mb	7	mb	Brachypodium
s559	66384	809	O-18-1P05-8a_S272_L001	18	17	O	18O	october	2018	1P05	mb	1P05mb	1	1mb	8	mb	Brachypodium
s560	31490	626	O-18-1P05-9a_S273_L001	18	17	O	18O	october	2018	1P05	cor	1P05cor	1	1cor	9	cor	Trifolium
s561	35371	681	O-18-1P06-1_S77_L001	18	17	O	18O	october	2018	1P06	p1	1P06p1	0	0p1	1	patch	Trifolium
s562	37171	704	O-18-1P06-2_S79_L001	18	17	O	18O	october	2018	1P06	p1	1P06p1	0	0p1	2	patch	Trifolium
s563	27140	543	O-18-1P06-3_S66_L001	18	17	O	18O	october	2018	1P06	p1	1P06p1	0	0p1	3	patch	Trifolium
s564	34910	676	O-18-1P06-4_S68_L001	18	17	O	18O	october	2018	1P06	p2	1P06p2	0	0p2	4	patch	Trifolium
s565	20952	423	O-18-1P06-5_S70_L001	18	17	O	18O	october	2018	1P06	p2	1P06p2	0	0p2	5	patch	Trifolium
s566	25243	506	O-18-1P06-6_S72_L001	18	17	O	18O	october	2018	1P06	p2	1P06p2	0	0p2	6	patch	Trifolium
s567	60295	797	O-18-1P06-7_S74_L001	18	17	O	18O	october	2018	1P06	mb	1P06mb	0	0mb	7	mb	Brachypodium
s568	26024	521	O-18-1P06-8_S76_L001	18	17	O	18O	october	2018	1P06	mb	1P06mb	0	0mb	8	mb	Brachypodium
s569	41041	735	O-18-1P07-2_S279_L001	18	17	O	18O	october	2018	1P07	p1	1P07p1	0	0p1	2	patch	Trifolium
s570	61435	800	O-18-1P07-3_S281_L001	18	17	O	18O	october	2018	1P07	p1	1P07p1	0	0p1	3	patch	Trifolium
